Player;PlayerID;Jahr;Woche;GM;BasisGehalt;Garantien;Basis-Woche;Garantien-Woche;sonstiges;Vertragslaufzeit;Spot;CapRabatt;Vertragsende
Jonathan Taylor;57488;2024;13;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2024;14;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2024;15;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Jonathan Taylor;57488;2024;16;Arneee;16240000;16240000;1015000;1015000;;16;Roster;;2024
Austin Ekeler;12164;2021;0;Arneee;14700000;14700000;;;;;Roster;;2024
Austin Ekeler;12164;2021;1;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;2;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;3;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;4;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;5;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;6;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;7;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;8;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;9;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;10;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;11;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;12;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;13;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;14;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;15;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2021;16;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;0;Arneee;14700000;14700000;;;;;Roster;;2024
Austin Ekeler;12164;2022;1;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;2;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;3;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;4;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;5;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;6;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;7;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;8;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;9;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;10;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;11;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;12;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;13;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;14;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;15;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2022;16;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;0;Arneee;14700000;14700000;;;;;Roster;;2024
Austin Ekeler;12164;2023;1;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;2;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;3;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;4;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;5;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;6;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;7;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;8;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;9;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;10;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;11;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;12;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;13;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;14;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;15;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2023;16;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;0;Arneee;14700000;14700000;;;;;Roster;;2024
Austin Ekeler;12164;2024;1;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;2;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;3;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;4;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;5;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;6;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;7;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;8;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;9;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;10;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;11;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;12;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;13;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;14;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;15;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Austin Ekeler;12164;2024;16;Arneee;14700000;14700000;918750;918750;;16;Roster;;2024
Tee Higgins;61211;2021;0;Lutz1904;6230000;1557500;;;;;Roster;;2024
Tee Higgins;61211;2021;1;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;2;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;3;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
Tee Higgins;61211;2021;4;Lutz1904;6230000;1557500;389375;97344;;16;Roster;;2024
